columna,nulos,pct_nulos
alcaldia_catalogo,2081157,99.1621
competencia,1064018,50.6979
colonia_catalogo,124440,5.9293
colonia_hecho,102124,4.866
latitud,101207,4.8223
longitud,101207,4.8223
alcaldia_hecho,24896,1.1862
unidad_investigacion,978,0.0466
hora_hecho,887,0.0423
fecha_hecho,560,0.0267
anio_hecho,559,0.0266
mes_hecho,559,0.0266
hora_inicio,15,0.0007
fecha_inicio,3,0.0001
fiscalia,2,0.0001
mes_inicio,0,0.0
anio_inicio,0,0.0
agencia,0,0.0
categoria_delito,0,0.0
delito,0,0.0
municipio_hecho,0,0.0
