columna,dtype,nulos,pct_nulos,n_unicos_sin_na
numren,int64,0,0.0,25
sexo,int64,0,0.0,2
edad,int64,0,0.0,111
folio,int64,0,0.0,229218
tam_loc,int64,0,0.0,4
est_dis,int64,0,0.0,558
upm,int64,0,0.0,17017
factor,int64,0,0.0,2441
ur_rur_2500,int64,0,0.0,2
municipio,int64,0,0.0,281
entidad,int64,0,0.0,32
ccevj,float64,0,0.0,2681
CBDj,float64,0,0.0,73542
CSj,float64,0,0.0,32
CTELJ,float64,0,0.0,3
CENJ,float64,0,0.0,4
rei,float64,0,0.0,187
ett,float64,0,0.0,19985
CASi,float64,0,0.0,35324
CASSi,float64,0,0.0,4
cyt,float64,0,0.0,219314
nbi,float64,0,0.0,678277
mmip,float64,0,0.0,727532
E_ccevj,int64,0,0.0,6
E_CBDj,int64,0,0.0,6
E_CSj,int64,0,0.0,4
E_CTELJ,int64,0,0.0,3
E_CENJ,int64,0,0.0,3
E_rei,int64,0,0.0,6
E_CASSi,int64,0,0.0,3
E_CASi,int64,0,0.0,5
E_nbi,int64,0,0.0,6
E_cict,int64,0,0.0,6
E_ett,int64,0,0.0,6
E_cyt,int64,0,0.0,6
E_mmip,int64,0,0.0,6
año,int64,0,0.0,3
