variable,target,corr
total_carpetas,robos_territoriales,0.9757962367445268
ROBO_A_NEGOCIO,robos_territoriales,0.9704911100718802
ROBO_DE_VEHICULO,robos_territoriales,0.9649682659158334
ROBO_A_TRANSEUNTE,robos_territoriales,0.9487595272415748
fraude,robos_territoriales,0.9158593997955521
ROBO_DE_ACCESORIOS_AUTO,robos_territoriales,0.8689065167476614
ROBO_A_CASA_HABITACION,robos_territoriales,0.855369153755651
ROBO_A_PASAJERO,robos_territoriales,0.8447159702426472
delitos_unicos,robos_territoriales,0.7532487609595949
ROBO_A_REPARTIDOR,robos_territoriales,0.6654606291188935
share_robos_territoriales,robos_territoriales,0.4364165852026303
share_fraude,robos_territoriales,0.43618536518471923
ccevj_wmean,robos_territoriales,-0.4106890000253483
CSj_wmean,robos_territoriales,-0.4083318491220622
CENJ_wmean,robos_territoriales,-0.3962450757194589
anio,robos_territoriales,-0.3813800260998086
rei_wmean,robos_territoriales,-0.3721907791434957
ROBO_A_TRANSPORTISTA,robos_territoriales,0.37217672343639163
nbi_wmean,robos_territoriales,-0.3598841756870484
mmip_wmean,robos_territoriales,-0.32685222052639223
cyt_wmean,robos_territoriales,-0.31218019729514235
CASi_wmean,robos_territoriales,-0.2534246288353518
pct_longitud_nula,robos_territoriales,-0.22032990324158458
pct_latitud_nula,robos_territoriales,-0.22032990324158458
CASSi_wmean,robos_territoriales,-0.21867551991137996
CBDj_wmean,robos_territoriales,-0.18187873716658232
