alcaldia_key,alcaldia_nombre,alcaldia_id,colonias_count,infraestructura_actualizacion_anio,infraestructura_es_snapshot,infraestructura_uso_recomendado,ba1_noeqsa_sum,ba8_nomerc_sum,ba8_noloca_sum,ba9_no_gua_sum,ba3_noeqed_sum,resid_ton_sum,alump_sum_total,p_porcelec_avg,r_valelect_avg,p_aguapot_avg,r_val_dren_avg,epr_pob_avg,r_epr_pob_avg,r_resd_ton_avg,alump_mean_avg,r_alump_su_avg,r_alump_mn_avg,s_ri_6_avg,c_ri_6_avg,mercados_total,locales_total,iluminacion_total,iluminacion_promedio,residuos_ton_total,equipamiento_salud_total,equipamiento_educativo_total,agua_potable_promedio,electricidad_promedio,drenaje_promedio
ALVARO OBREGON,Alvaro Obregon,2,248,2022,True,variable estructural contextual; no interpretar como medicion anual,42.0,16.0,1876.0,13.0,319.0,664.60456,11584.0,96.6616288,2.796,95.67409472,2.828,0.0038484,4.232,1.908,2.2565744992868404,2.396,3.536,33.128,2.596,16.0,1876.0,11584.0,2.2565744992868404,664.60456,42.0,319.0,95.67409472,96.6616288,2.828
AZCAPOTZALCO,Azcapotzalco,1,111,2022,True,variable estructural contextual; no interpretar como medicion anual,39.0,19.0,3537.0,12.0,258.0,539.1301,5064.0,97.6758452252252,2.5855855855855854,96.53147945945945,2.945945945945946,0.0004284684684684684,4.117117117117117,2.774774774774775,1.6328517199379278,2.4954954954954953,2.3513513513513513,32.95495495495496,2.5495495495495497,19.0,3537.0,5064.0,1.6328517199379278,539.1301,39.0,258.0,96.53147945945945,97.6758452252252,2.945945945945946
BENITO JUAREZ,Benito Juarez,3,64,2022,True,variable estructural contextual; no interpretar como medicion anual,32.0,16.0,3723.0,21.0,149.0,662.9490000000001,3076.0,98.330095625,2.5625,97.84046671875001,2.75,0.0001978125,3.875,3.9375,1.4087581305501562,2.78125,1.75,33.421875,2.625,16.0,3723.0,3076.0,1.4087581305501562,662.9490000000001,32.0,149.0,97.84046671875001,98.330095625,2.75
COYOACAN,Coyoacan,4,153,2022,True,variable estructural contextual; no interpretar como medicion anual,49.0,23.0,3562.0,29.0,276.0,831.3516999999999,8398.0,98.57534810457516,2.2941176470588234,97.87446483660129,2.6405228758169934,0.0006330718954248366,3.4052287581699345,2.7450980392156863,1.7985161285440523,2.915032679738562,2.718954248366013,32.3202614379085,2.3006535947712417,23.0,3562.0,8398.0,1.7985161285440523,831.3516999999999,49.0,276.0,97.87446483660129,98.57534810457516,2.6405228758169934
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,43,2022,True,variable estructural contextual; no interpretar como medicion anual,29.0,5.0,405.0,4.0,93.0,172.88879999999997,2427.0,91.28274046511628,2.372093023255814,89.21024860465116,3.116279069767442,0.00026000000000000003,4.395348837209302,2.4186046511627906,2.594454291745349,2.6744186046511627,4.0,33.02325581395349,2.627906976744186,5.0,405.0,2427.0,2.594454291745349,172.88879999999997,29.0,93.0,89.21024860465116,91.28274046511628,3.116279069767442
CUAUHTEMOC,Cuauhtemoc,6,64,2022,True,variable estructural contextual; no interpretar como medicion anual,93.0,38.0,14228.0,46.0,332.0,1324.245,4265.0,98.32475203125,3.4375,97.69165296874999,3.421875,0.00012687499999999998,3.890625,4.8125,1.54956442772,3.25,2.0,33.828125,2.875,38.0,14228.0,4265.0,1.54956442772,1324.245,93.0,332.0,97.69165296874999,98.32475203125,3.421875
GUSTAVO A MADERO,Gustavo A Madero,7,231,2022,True,variable estructural contextual; no interpretar como medicion anual,90.0,51.0,9994.0,21.0,626.0,1761.394,14818.0,98.06645393939397,2.658008658008658,96.75912303030303,2.6796536796536796,0.0006895238095238096,3.7445887445887447,3.3852813852813854,1.8092148407789612,3.034632034632035,2.6623376623376624,33.37229437229437,2.675324675324675,51.0,9994.0,14818.0,1.8092148407789612,1761.394,90.0,626.0,96.75912303030303,98.06645393939397,2.6796536796536796
IZTACALCO,Iztacalco,8,55,2022,True,variable estructural contextual; no interpretar como medicion anual,20.0,17.0,3145.0,21.0,219.0,476.57500000000005,4797.0,99.21785290909094,2.4727272727272727,98.77059709090908,2.6,0.000508,3.6363636363636362,3.709090909090909,1.7289957085934544,3.5272727272727273,2.5636363636363635,32.8,2.5636363636363635,17.0,3145.0,4797.0,1.7289957085934544,476.57500000000005,20.0,219.0,98.77059709090908,99.21785290909094,2.6
IZTAPALAPA,Iztapalapa,9,292,2022,True,variable estructural contextual; no interpretar como medicion anual,88.0,20.0,3027.0,36.0,847.0,2127.054,27776.0,98.59169921501706,2.3003412969283277,97.26181447098975,2.6040955631399316,0.0001956655290102389,4.129692832764505,3.218430034129693,1.9567270967818768,3.5017064846416384,3.0716723549488054,33.79863481228669,2.795221843003413,20.0,3027.0,27776.0,1.9567270967818768,2127.054,88.0,847.0,97.26181447098975,98.59169921501706,2.6040955631399316
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,52,2022,True,variable estructural contextual; no interpretar como medicion anual,32.0,5.0,354.0,9.0,111.0,259.09610000000004,3384.0,98.93637057692307,2.5961538461538463,92.5148126923077,2.730769230769231,0.00010749999999999998,4.25,2.8076923076923075,2.4471113462538456,3.0384615384615383,3.923076923076923,33.55769230769231,2.769230769230769,5.0,354.0,3384.0,2.4471113462538456,259.09610000000004,32.0,111.0,92.5148126923077,98.93637057692307,2.730769230769231
MIGUEL HIDALGO,Miguel Hidalgo,11,89,2022,True,variable estructural contextual; no interpretar como medicion anual,31.0,19.0,6671.0,23.0,191.0,850.7068,4338.0,97.72377112359553,2.707865168539326,96.71224370786517,2.865168539325843,0.0010037078651685392,3.752808988764045,3.662921348314607,1.6625202271806743,2.595505617977528,2.3820224719101124,33.61797752808989,2.797752808988764,19.0,6671.0,4338.0,1.6625202271806743,850.7068,31.0,191.0,96.71224370786517,97.72377112359553,2.865168539325843
MILPA ALTA,Milpa Alta,12,12,2022,True,variable estructural contextual; no interpretar como medicion anual,22.0,8.0,656.0,10.0,78.0,110.79,2550.0,97.85926583333334,4.0,89.27072833333334,4.916666666666667,0.000165,3.3333333333333335,3.5,2.8997135431408334,4.333333333333333,4.833333333333333,34.25,3.0833333333333335,8.0,656.0,2550.0,2.8997135431408334,110.79,22.0,78.0,89.27072833333334,97.85926583333334,4.916666666666667
TLAHUAC,Tlahuac,13,59,2022,True,variable estructural contextual; no interpretar como medicion anual,31.0,19.0,1464.0,15.0,175.0,351.68800000000005,6403.0,91.08351406779661,2.8813559322033897,84.49480101694915,3.4237288135593222,0.0004891525423728813,3.7288135593220337,2.8983050847457625,2.1298701825457624,3.389830508474576,3.169491525423729,33.6271186440678,2.830508474576271,19.0,1464.0,6403.0,2.1298701825457624,351.68800000000005,31.0,175.0,84.49480101694915,91.08351406779661,3.4237288135593222
TLALPAN,Tlalpan,14,179,2022,True,variable estructural contextual; no interpretar como medicion anual,46.0,20.0,1483.0,17.0,248.0,838.8285,10405.0,96.91211597765363,2.6145251396648046,81.23089351955306,3.1340782122905027,0.0004745810055865922,4.050279329608938,2.474860335195531,2.1500483320172066,2.6927374301675977,3.2402234636871508,33.74301675977654,2.815642458100559,20.0,1483.0,10405.0,2.1500483320172066,838.8285,46.0,248.0,81.23089351955306,96.91211597765363,3.1340782122905027
VENUSTIANO CARRANZA,Venustiano Carranza,15,80,2022,True,variable estructural contextual; no interpretar como medicion anual,41.0,43.0,15608.0,25.0,250.0,870.5468000000001,5577.0,98.89786325,2.725,98.29118787499999,2.8375,0.0006947500000000001,3.675,3.75,1.509748871922625,2.825,1.975,32.875,2.5375,43.0,15608.0,5577.0,1.509748871922625,870.5468000000001,41.0,250.0,98.29118787499999,98.89786325,2.8375
XOCHIMILCO,Xochimilco,16,79,2022,True,variable estructural contextual; no interpretar como medicion anual,32.0,11.0,2298.0,12.0,189.0,456.65579999999994,8565.0,97.27125620253165,2.8607594936708862,87.73714506329114,3.430379746835443,0.00044430379746835443,3.962025316455696,2.6835443037974684,2.896420579883038,3.430379746835443,4.443037974683544,34.40506329113924,3.0759493670886076,11.0,2298.0,8565.0,2.896420579883038,456.65579999999994,32.0,189.0,87.73714506329114,97.27125620253165,3.430379746835443
